id,term,site_page,definition,url_display,url_path
1,Agency,Spending Explainer,"On this website, we use the term agency to mean any federal department, commission, or other U.S. government entity. Agencies can have multiple sub-agencies. For example, this page is brought to you by the Bureau of the Fiscal Service, a sub-agency of the U.S. Department of Treasury.",,
2,Appropriations,Spending Explainer,"The process by which Congress designates and approves spending for a specific purpose (e.g., a project or program). Most government spending is determined through appropriation bills each year. These bills must be passed by Congress and signed by the President. When an appropriation is not passed by Congress before the beginning of the fiscal year, a ""continuing resolution"" (often referred to as a ""CR"") may be enacted to avoid a government shutdown. A CR is a law that provides stopgap funding for agencies until their regular appropriations are passed. ",,
3,Balanced Budget,Deficit explainer,A balanced budget occurs when the government spends the same amount it collects.,,
4,Bills,"Debt explainer, Deficit Explainer",Bills are short-term government securities with maturities ranging from a few days to 52 weeks. For more information on Treasury bills visit Treasury Direct.,Treasury Direct,https://www.treasurydirect.gov/indiv/products/prod_tbills_glance.htm
5,Bonds,"Debt explainer, Deficit Explainer","Bonds are government securities that pay interest every six months and mature in 20 or 30 years. For more information on Treasury bonds, including how to purchase them from the Treasury, visit Treasury Direct.",Treasury Direct,https://www.treasurydirect.gov/indiv/products/prod_tbonds_glance.htm
6,Budget Function,Spending Explainer,"The federal budget is divided into approximately 20 categories, known as budget functions. These categories organize federal spending into topics based on their purpose (e.g., National Defense, Transportation, and Health). These categories can be further broken down into budget sub-functions.",,
7,Calendar Year,Debt explainer,This is the one-year period between January 1 and December 31. This is different from the U.S. Government’s fiscal year.,,
8,Debt Ceiling,Debt explainer,This is the maximum amount of money the federal government is allowed to borrow without receiving additional authority from Congress.,,
9,Debt Held by the Public,Debt explainer,"This consists of all national debt held by any person or entity that is not a U.S. federal government agency. This includes individuals, corporations, state or local governments, Federal Reserve Banks, foreign investors, foreign governments, and other entities outside the United States Government. The terms of these securities can range in maturity, the way they are sold to investors, and the structure of their interest payments. Debt held by the public does not include intragovernmental debt. For a list of foreign investors holding national debt, visit the Treasury International Capital (TIC) System.",Treasury International Capital (TIC) System,http://ticdata.treasury.gov/Publish/mfh.txt
11,Deficit,Debt explainer,A deficit occurs when spending exceeds revenue.,,
10,Discretionary,Spending Explainer,"Discretionary spending is determined by the President and Congress each year in the budget and appropriations process and includes spending for most defense, education, and transportation programs.",,
